0,35357,54852,56136,24502,-0.012,-0.120806962
0.01,35548,54856,56132,24273,-0.258,-0.120806962
0.02,34995,55132,57526,26008,-0.881,-0.184140831
0.03,34979,55154,57734,26337,-1.78,-0.51560688
0.04,38941,52794,56252,31692,-2.885,-1.286299109
0.05,48390,42925,49604,44300,-4.271,-2.644687891
0.06,55465,30617,39851,52975,-5.83,-7.649843216
0.07,56584,24238,36259,55331,-6.567,-7.649843216
0.08,57353,24786,35692,55186,-7.093,-11.2177
0.09,57509,24275,36173,55492,-7.178,-15.17200279
0.1,57573,23859,36235,55116,-6.82,-19.40381813
0.11,57870,24633,35408,54627,-6.088,-23.41868401
0.12,58009,24943,35604,54495,-4.921,-27.15769577
0.13,53871,37284,43840,47147,-3.902,-30.64199638
0.14,52571,40711,46583,45489,-2.285,-33.06347656
0.15,45760,50313,52680,33869,-1.236,-34.75030518
0.16,42520,53878,55320,28606,-0.11,-35.64539337
0.17,41779,54888,56240,26758,0.67,-35.86574554
0.18,42129,55721,57117,26942,1.12,-35.5825119
0.19,45381,54816,56533,31286,1.19,-34.9980278
0.2,55519,42398,48395,48857,0.908,-34.39250565
0.21,51356,48661,53349,42774,0.563,-33.83961487
0.22,58297,37219,45028,53895,0.069,-33.47910309
0.23,55419,42580,49817,50422,-0.228,-33.38389587
0.24,59690,33207,43204,57018,-0.406,-33.48804474
0.25,56371,42270,49984,52229,-0.337,-33.71225357
0.26,56324,43559,50991,52223,-0.061,-33.92024612
0.27,55019,48220,53322,48923,0.446,-33.97397232
0.28,54402,50796,54639,46966,1.024,-33.76672363
0.29,52917,53587,56780,44312,1.634,-33.22528839
0.3,52333,55607,57513,41879,2.139,-32.34048462
0.31,52652,55541,57887,42900,2.424,-31.16052055
0.32,52723,55268,58292,44397,2.587,-29.74538612
0.33,53626,54918,57930,45238,2.61,-28.26904678
0.34,54673,53518,57463,48127,2.466,-26.74198151
0.35,55725,52309,56820,49621,2.308,-25.31460381
0.36,60242,45125,50553,55905,2.187,-23.94800186
0.37,56259,50417,56242,51569,2.114,-22.59291458
0.38,59647,43523,50733,56069,2.152,-21.35207176
0.39,55889,50829,55669,49958,2.188,-20.10414886
0.4,58893,44184,50862,54643,2.321,-18.83404541
0.41,54625,52183,56097,47439,2.494,-17.49517441
0.42,53966,51416,55887,47241,2.637,-16.08426094
0.43,53745,51681,54641,45629,2.787,-14.58461189
0.44,55899,49025,51332,47994,2.885,-12.94375992
0.45,54708,46480,51383,48960,3.005,-11.24149609
0.46,50701,51842,55013,42962,3.029,-9.532810211
0.47,55173,46165,48977,47735,2.992,-7.799744129
0.48,50585,49526,53396,43708,2.886,-6.077234268
0.49,50370,47088,51678,44385,2.788,-4.412239075
0.5,50047,49672,51448,40917,2.704,-2.55074954
0.51,47600,43168,51720,45474,2.645,-0.799655676
0.52,47875,46880,51282,41524,2.523,0.726577103
0.53,51352,41060,46040,45696,2.313,2.183614016
0.54,50351,40612,45657,44869,2.17,3.541012526
0.55,50408,40277,44456,43861,2.066,4.801506519
0.56,48788,40858,45183,42104,2.057,6.001243591
0.57,47920,41452,45174,40635,2.095,7.178322792
0.58,47207,41095,45200,39984,2.112,8.372733116
0.59,37737,48763,50808,26382,2.108,10.14549732
0.6,38590,47254,51540,31450,2.069,11.61731625
0.61,42033,43661,48340,34711,1.911,12.94418716
0.62,42098,42952,48710,36017,1.695,14.11150455
0.63,42967,42651,47161,35799,1.472,15.1671648
0.64,44570,40159,45273,38128,1.18,16.02667999
0.65,44872,38837,44418,39041,0.866,16.7829628
0.66,44231,39050,45668,39570,0.651,17.36660194
0.67,45555,38497,43695,39692,0.478,17.79239845
0.68,45752,38581,43476,39726,0.378,18.07870102
0.69,45549,40502,43628,37444,0.349,18.3429718
0.7,44158,40364,45074,37800,0.429,18.54640388
0.71,42729,41828,46274,36044,0.481,18.82723427
0.72,42648,42061,46429,35979,0.569,19.09793282
