0,44925,40621,42823,42157
0.01,44453,40566,43323,42226
0.02,43985,40879,43826,41872
0.03,43729,40798,44219,41892
0.04,43553,41046,44376,41643
0.05,43940,40912,43976,41790
0.06,43704,41527,44347,41332
0.07,43657,41145,44315,41791
0.08,44794,41166,44001,42208
0.09,44923,41496,44215,41880
0.1,45849,41070,43196,42536
0.11,44835,41923,43739,42281
0.12,45491,41248,43654,42335
0.13,45355,41293,44019,42278
0.14,45143,40984,44099,42435
0.15,44953,41226,44137,42231
0.16,44768,40912,44276,42502
0.17,44990,41197,44137,42368
0.18,44585,41136,44513,42432
0.19,43868,41407,44905,42482
0.2,43899,41112,45191,42452
0.21,44095,41513,44998,42069
0.22,44624,41138,44433,42477
0.23,44552,41221,44469,42426
0.24,44705,41579,44307,42016
0.25,44894,41603,44103,41912
0.26,45492,40529,43800,42913
0.27,45343,41322,43751,42356
0.28,45434,41723,43647,41929
0.29,45268,41174,43769,42470
0.3,44773,41251,44329,42482
0.31,44837,41369,44272,42480
0.32,44839,41768,44334,41948
0.33,44622,40742,44104,43355
0.34,44502,41672,44554,42349
0.35,44709,41638,44537,42276
0.36,45136,41329,44059,42513
0.37,44702,41273,44175,42795
0.38,44536,41351,44487,42371
0.39,44638,41451,44154,42354
0.4,44656,40866,44066,42609
0.41,44690,41108,44254,42033
0.42,45470,41049,43212,42191
0.43,45788,40668,43054,42604
0.44,45237,40829,43546,42250
0.45,45304,40250,43609,42907
0.46,45129,40652,43792,42542
0.47,43741,40967,44824,42552
0.48,44272,40506,44671,42455
0.49,44142,41560,44397,42076
0.5,44793,41456,44106,41738
0.51,44332,41082,44425,42294
0.52,44535,40919,44309,42309
0.53,44474,41378,44211,41997
0.54,44758,40876,43878,42401
0.55,44741,40174,43864,42995
0.56,44602,41348,43907,41898
0.57,45062,40789,43175,42515
0.58,44533,40883,44147,41947
0.59,44396,41426,44076,41599
0.6,44269,40975,44150,42082
0.61,44680,40886,43645,42216
0.62,44772,41362,43363,41669
0.63,44084,41158,44173,41980
0.64,44591,40651,43631,42415
0.65,44237,41138,43176,42717
0.66,45271,40734,42989,41863
0.67,44577,41204,43294,42116
0.68,44460,40551,43630,42438
0.69,44888,40668,43127,42213
0.7,44376,40739,43716,42080
0.71,44393,41354,43765,41507
0.72,44401,40704,43743,42206
0.73,44357,41375,43673,41613
0.74,43549,40949,44737,42016
0.75,43942,41095,44220,41820
0.76,44357,40672,43875,42218
0.77,44998,41194,43405,42005
0.78,44572,41278,43948,41942
0.79,44671,40789,43978,42578
0.8,44912,40825,43757,42521
0.81,45013,40075,43966,43303
0.82,44746,40293,44052,43098
0.83,44570,40577,44250,42866
0.84,44853,40625,44179,42854
0.85,44651,40437,44270,43179
0.86,43950,41064,44990,42542
0.87,44823,40504,44134,43060
0.88,44873,40305,44067,43327
0.89,45462,41118,43481,42712
0.9,44977,40646,44026,43148
0.91,45088,41140,43825,42774
0.92,45066,40626,43889,43222
0.93,45127,40298,43754,43652
0.94,44651,40799,44414,43105
0.95,44702,40958,44334,43096
0.96,44792,41133,44273,42990
0.97,45025,41004,44044,43125
0.98,45214,40640,43904,43318
0.99,45414,40841,43880,43429
1,45123,40927,44051,43337
1.01,45333,41391,43961,42871
1.02,44898,40393,44408,43656
1.03,44323,41102,44870,43179
1.04,45081,41409,44098,42758
1.05,44768,41172,44415,43125
1.06,44995,41086,44095,43042
1.07,44777,41069,44288,43150
1.08,44941,41612,44047,42642
1.09,44781,41482,44195,42604
1.1,45063,41116,43834,42959
1.11,44777,40920,44088,43118
1.12,44513,41304,44321,42677
1.13,44669,41291,44120,42779
1.14,44781,41209,44032,42752
1.15,44509,41006,44355,42859
1.16,44961,41358,43850,42533
1.17,45010,41612,43883,42427
1.18,44791,42160,44136,41834
1.19,44844,41334,44097,42569
1.2,44481,41626,44410,42250
1.21,44777,40793,44138,43097
1.22,45079,41094,43921,42736
1.23,44776,41123,44337,42572
1.24,44863,40728,44226,42976
1.25,45195,40919,43901,42792
1.26,44894,41006,44175,42665
1.27,44925,40903,44223,42842
1.28,44907,40979,44298,42717
1.29,44918,40564,44170,43181
1.3,45015,40489,44015,43293
1.31,45035,40044,44011,43595
1.32,44869,40237,44154,43416
1.33,44658,40409,44388,43266
1.34,44795,40830,44122,42837
1.35,44595,40433,44238,43289
1.36,44423,40702,44478,42894
1.37,44428,40808,44439,42830
1.38,45057,40903,43826,42804
1.39,45025,40097,43939,43669
1.4,44943,40050,44046,43615
1.41,45123,40525,43795,43257
1.42,44825,40358,44006,43270
1.43,44801,40351,43961,43276
1.44,44646,40448,44149,43170
1.45,44542,41071,44298,42648
1.46,44612,41148,44150,42549
1.47,44594,40574,44120,43099
1.48,45242,40819,43433,42899
1.49,45584,41371,43182,42599
1.5,45459,40914,43251,43038
1.51,44950,41286,43913,42562
1.52,44787,40956,44029,42902
1.53,44423,40861,44366,43081
1.54,44179,40642,44736,43240
1.55,44381,40680,44568,43280
1.56,44655,41002,44313,43010
1.57,45035,40859,43750,43467
1.58,44541,41251,44624,42986
1.59,45057,41430,43719,42857
1.6,45298,40946,43548,43494
1.61,45046,41694,43895,42805
1.62,45650,40568,43228,43884
1.63,44962,41194,43971,43298
1.64,45057,41161,43906,43242
1.65,44614,41207,44277,43246
1.66,44239,41589,44558,42825
1.67,44690,41258,44163,43057
1.68,44379,41000,44497,43373
1.69,44319,41743,44635,42590
1.7,44340,41866,44715,42305
1.71,44322,40717,44699,43337
1.72,44692,40918,44453,43347
1.73,44869,40813,44224,43620
1.74,44822,41669,44222,42869
1.75,44991,40741,43986,43744
1.76,45244,41412,43676,43112
1.77,44913,41509,44149,42901
1.78,45036,41003,43907,43352
1.79,45145,40918,43908,43394
1.8,45120,40976,43648,43414
1.81,44927,40625,43859,43648
1.82,44309,41218,44373,43138
1.83,44564,41452,43920,43153
1.84,44738,41265,43671,43284
1.85,44716,41496,43599,43167
1.86,44782,40722,43560,43857
1.87,44885,41059,43598,43422
1.88,44454,41449,44123,42984
1.89,44737,41531,43737,42974
1.9,44216,41769,43895,42688
1.91,44676,41667,43627,42626
1.92,44456,41052,44140,43231
1.93,44680,41019,43747,43195
1.94,46146,41426,42319,42750
1.95,45438,41112,43275,43227
1.96,44835,41540,43919,42607
1.97,45254,40820,43412,43349
1.98,44279,41435,44426,42724
1.99,45359,40910,43563,43314
2,44936,41502,44046,42821
2.01,43120,41811,45963,42752
2.02,45658,41409,43561,43154
2.03,44470,40940,44837,43684
2.04,45235,41204,44052,43462
2.05,45408,40785,43703,43976
2.06,45578,40772,43456,44037
2.07,45575,41670,43368,43152
2.08,45387,41131,43507,43647
2.09,44986,40970,43855,43835
2.1,45129,41541,43615,43259
2.11,44905,41573,43809,43141
2.12,44582,41442,44109,43273
2.13,42580,41976,46046,42757
2.14,43781,42391,44920,42344
2.15,44332,41404,44351,43408
2.16,47945,42469,40373,42651
2.17,45480,42342,43377,42841
2.18,45406,42655,43616,42492
2.19,45729,41978,43359,43074
2.2,45306,41566,43991,43545
2.21,45434,41573,43898,43465
2.22,45057,41238,44280,43719
2.23,43325,40180,46406,44139
2.24,44530,40769,45144,43777
2.25,44980,40075,44701,44329
2.26,45543,40428,44113,44044
2.27,43919,41091,45682,43473
2.28,45114,41036,44439,43529
2.29,44984,41105,44431,43419
2.3,45750,41074,43623,43336
2.31,45338,41187,44197,43117
2.32,45479,41253,43860,43002
2.33,46257,41506,42937,42737
2.34,45908,41397,43311,42728
2.35,46034,41261,43117,42907
2.36,45231,41472,43851,42868
2.37,45459,41240,43767,42939
2.38,45248,41449,44194,42522
2.39,45101,41436,44284,42527
2.4,44822,41850,44650,42014
2.41,44673,40781,44843,42948
2.42,44865,41257,44653,42448
2.43,44690,41495,44947,42026
2.44,45093,41291,44728,41960
2.45,45210,41246,44665,41892
2.46,46244,40060,43515,43038
2.47,45870,41715,43939,41415
2.48,50476,43534,38226,40031
2.49,46695,41388,43672,42151
2.5,46751,40035,43441,43504
2.51,45757,40836,44563,43064
2.52,45123,39732,45208,44151
2.53,44582,40490,45851,43405
2.54,44145,40712,46111,43354
2.55,44643,40624,45748,43637
2.56,44524,41014,45907,43138
2.57,45123,41300,45182,42723
2.58,45177,41414,45226,42768
2.59,45843,41369,44449,42822
2.6,45906,41553,44274,42594
2.61,46506,41233,43587,42766
2.62,45680,41372,44443,42229
2.63,45786,41467,44356,42150
2.64,45839,40208,44153,43461
2.65,44235,41398,45873,43925
2.66,46318,40602,44183,44239
2.67,44508,41434,46168,43635
2.68,45528,41449,45124,43668
2.69,45219,41529,45420,43684
2.7,45260,42251,45403,43016
2.71,45070,41958,45677,43593
2.72,46511,42192,44247,43383
2.73,45075,41934,45588,43742
2.74,45427,42223,45219,43343
2.75,46140,42127,44408,43513
2.76,46792,42182,43636,43517
2.77,45517,42179,44974,43486
2.78,45432,42079,45065,43473
2.79,45487,41833,44948,43648
2.8,45263,41934,45091,43593
2.81,44474,42235,45799,43163
2.82,46692,42235,43629,43258
2.83,45610,42008,44688,43474
2.84,45443,42347,44889,42999
2.85,45602,41438,44710,43774
2.86,45241,41914,44942,43086
2.87,45429,41140,44719,43693
2.88,45489,41131,44544,43605
2.89,45368,41344,44569,43280
2.9,45495,41182,44247,43302
2.91,44996,40527,44837,43949
2.92,45030,40954,44724,43533
2.93,45033,40889,44460,43419
2.94,44094,41839,45300,42488
2.95,44513,41370,44937,42769
2.96,44673,41155,44687,42952
2.97,44088,41230,45188,42952
2.98,44512,41095,44586,43122
2.99,44678,40462,44395,43569
3,44718,40488,44253,43461
3.01,42528,39755,46495,44293
3.02,44231,40665,45002,43404
3.03,44969,40590,44277,43444
3.04,46615,41525,42634,42626
3.05,45438,41341,43924,42762
3.06,45727,41199,43697,42781
3.07,45575,40655,43890,43286
3.08,45467,40460,43900,43578
3.09,45219,40540,44104,43509
3.1,44456,41414,45053,42564
3.11,44856,41467,44728,42458
3.12,45160,40931,44514,42815
3.13,43915,41304,45786,42762
3.14,45508,41229,44704,42699
3.15,45697,40914,44664,42898
3.16,45594,41282,44665,42795
3.17,45705,41422,44511,42681
3.18,45523,40974,44698,43197
3.19,45128,40910,45186,43156
3.2,45355,41132,45093,42780
3.21,44949,41162,45539,42558
3.22,46457,40180,43881,43813
3.23,45159,41017,45142,43146
3.24,45954,40875,44300,43311
3.25,45006,40649,45121,43747
3.26,45126,40410,44979,44088
3.27,44738,41376,45363,43161
3.28,45612,40856,44332,43620
3.29,45282,40483,44660,43859
3.3,45399,41275,44632,43219
3.31,45371,41695,44544,42885
3.32,45236,41329,44731,43241
3.33,45850,40630,44114,43841
3.34,45172,41594,44723,43074
3.35,45789,40719,44124,43834
3.36,45044,41677,44883,42968
3.37,45308,41229,44513,43338
3.38,45788,40444,44247,44074
3.39,45972,40431,44067,44028
3.4,45590,40761,44495,43669
3.41,45262,41387,44777,43127
3.42,45400,40765,44594,43673
3.43,45445,41173,44496,43142
3.44,45018,40976,44956,43151
3.45,45258,41454,44640,42722
3.46,46073,41488,43788,42827
3.47,45685,41779,44276,42451
3.48,45077,42171,44889,42053
3.49,45394,41690,44555,42512
3.5,45716,40680,44279,43411
3.51,44663,42170,45300,41917
3.52,45110,41256,44963,42810
3.53,44771,40659,45292,43358
3.54,44836,41571,45148,42664
3.55,44595,42087,45394,42292
3.56,45440,40317,44570,44006
3.57,44782,41056,45267,43384
3.58,45660,41063,44333,43358
3.59,45507,40967,44448,43489
3.6,45651,40904,44243,43544
3.61,45324,40983,44588,43626
3.62,45674,40750,44327,43844
3.63,45008,41477,44966,43289
3.64,45152,41377,44916,43317
3.65,44766,42017,45332,42812
3.66,44850,42220,45344,42625
3.67,44735,42093,45290,42926
3.68,44858,42364,45229,42689
3.69,45051,42329,45000,42768
3.7,45647,41612,44422,43431
3.71,45343,42069,44666,42933
3.72,45254,42086,44635,42899
3.73,45362,41530,44461,43413
3.74,45326,41548,44341,43271
3.75,45101,41999,44555,42903
3.76,44957,41624,44768,43465
3.77,45453,41460,44264,43543
3.78,45015,40914,44668,43995
3.79,44690,41095,44902,43850
3.8,45196,41660,44339,43373
3.81,44934,41222,44587,43781
3.82,45150,41361,44148,43506
3.83,44439,41593,44896,43378
3.84,45097,41051,44342,43996
3.85,45135,41037,44183,44121
3.86,45090,41078,44128,43834
3.87,45418,41289,43928,43682
3.88,45296,40908,44092,43956
3.89,44803,41081,44493,43855
3.9,45259,40685,44092,44164
3.91,45040,41253,44363,43595
3.92,45119,41763,44408,43228
3.93,45346,41207,44122,43702
3.94,45144,41435,44361,43491
3.95,44781,41934,44628,42935
3.96,45032,41615,44308,43245
3.97,44862,42210,44420,42661
3.98,44627,41755,44694,43091
3.99,44683,41724,44642,43056
4,44740,42439,44544,42365
4.01,44681,41344,44713,43558
4.02,44986,41358,44431,43573
4.03,45253,41268,44187,43711
4.04,45434,41663,44082,43489
4.05,45288,41784,44257,43305
4.06,45452,41556,44134,43651
4.07,45489,41544,44120,43806
4.08,45162,41689,44472,43741
4.09,45085,41069,44540,44301
4.1,44740,41423,44896,43906
4.11,44288,42143,45441,43373
4.12,44783,41707,45040,43851
4.13,45300,41656,44580,43906
4.14,45075,41786,44802,43819
4.15,45499,41190,44392,44500
4.16,46069,42127,43764,43570
4.17,45471,41856,44355,43829
4.18,45571,42048,44334,43674
4.19,45503,41587,44380,44200
4.2,45132,41644,44687,44130
4.21,45461,41749,44346,43861
4.22,44650,41642,45017,43846
4.23,45082,42086,44455,43416
4.24,44900,42015,44449,43380
4.25,44862,41576,44522,43646
4.26,45025,41162,44212,44043
4.27,44756,41446,44516,43584
4.28,44603,41230,44609,43738
4.29,44929,41187,44340,43726
4.3,45348,41223,43937,43841
4.31,45042,41510,44233,43545
4.32,45365,41779,43927,43313
4.33,44845,42293,44530,42769
4.34,44760,42206,44470,43011
4.35,44696,41584,44586,43532
