0,0.499428034,0.000499428
0.001,0.499428034,0.000499428
0.002,0.499428034,0.000998856
0.003,0.499428034,0.000998856
0.004,0.499428034,0.001498284
0.005,0.499428034,0.001498284
0.006,0.499428034,0.001997712
0.007,0.499428034,0.001997712
0.008,0.499428034,0.00249714
0.009,0.499428034,0.00249714
0.01,0.478168488,0.002975309
0.011,0.478168488,0.002975309
0.012,0.478168488,0.003453477
0.013,0.478168488,0.003453477
0.014,0.478168488,0.003931645
0.015,0.478168488,0.003931645
0.016,0.478168488,0.004409814
0.017,0.478168488,0.004409814
0.018,0.478168488,0.004887982
0.019,0.478168488,0.004887982
0.02,0.451575726,0.005339558
0.021,0.451575726,0.005339558
0.022,0.451575726,0.005791134
0.023,0.451575726,0.005791134
0.024,0.451575726,0.006242709
0.025,0.451575726,0.006242709
0.026,0.451575726,0.006694285
0.027,0.451575726,0.006694285
0.028,0.451575726,0.007145861
0.029,0.451575726,0.007145861
0.03,0.441842884,0.007587704
0.031,0.441842884,0.007587704
0.032,0.441842884,0.008029547
0.033,0.441842884,0.008029547
0.034,0.441842884,0.00847139
0.035,0.441842884,0.00847139
0.036,0.441842884,0.008913233
0.037,0.441842884,0.008913233
0.038,0.441842884,0.009355076
0.039,0.441842884,0.009355076
0.04,0.348661691,0.009703738
0.041,0.348661691,0.009703738
0.042,0.348661691,0.0100524
0.043,0.348661691,0.0100524
0.044,0.348661691,0.010401062
0.045,0.348661691,0.010401062
0.046,0.348661691,0.010749724
0.047,0.348661691,0.010749724
0.048,0.348661691,0.011098386
0.049,0.348661691,0.011098386
0.05,0.411069095,0.011509455
0.051,0.411069095,0.011509455
0.052,0.411069095,0.011920523
0.053,0.411069095,0.011920523
0.054,0.411069095,0.012331593
0.055,0.411069095,0.012331593
0.056,0.411069095,0.012742663
0.057,0.411069095,0.012742663
0.058,0.411069095,0.013153732
0.059,0.411069095,0.013153732
0.06,0.461554974,0.013615287
0.061,0.461554974,0.013615287
0.062,0.461554974,0.014076842
0.063,0.461554974,0.014076842
0.064,0.461554974,0.014538397
0.065,0.461554974,0.014538397
0.066,0.461554974,0.014999952
0.067,0.461554974,0.014999952
0.068,0.461554974,0.015461507
0.069,0.461554974,0.015461507
0.07,0.511141896,0.01597265
0.071,0.511141896,0.01597265
0.072,0.511141896,0.016483791
0.073,0.511141896,0.016483791
0.074,0.511141896,0.016994935
0.075,0.511141896,0.016994935
0.076,0.511141896,0.017506078
0.077,0.511141896,0.017506078
0.078,0.515575886,0.018021654
0.079,0.515575886,0.018021654
0.08,0.707762361,0.018729415
0.081,0.707762361,0.018729415
0.082,0.707762361,0.019437179
0.083,0.707762361,0.019437179
0.084,0.707762361,0.020144939
0.085,0.707762361,0.020144939
0.086,0.707762361,0.020852704
0.087,0.707762361,0.020852704
0.088,0.707762361,0.021560464
0.089,0.707762361,0.021560464
0.09,0.768824697,0.022329289
0.091,0.768824697,0.022329289
0.092,0.768824697,0.023098115
0.093,0.768824697,0.023098115
0.094,0.768824697,0.023866938
0.095,0.768824697,0.023866938
0.096,0.768824697,0.024635762
0.097,0.768824697,0.024635762
0.098,0.773374796,0.02540914
0.099,0.773374796,0.02540914
0.1,0.93907702,0.026348216
0.101,0.93907702,0.026348216
0.102,0.93907702,0.027287293
0.103,0.93907702,0.027287293
0.104,0.93907702,0.028226372
0.105,0.93907702,0.028226372
0.106,0.93907702,0.02916545
0.107,0.93907702,0.02916545
0.108,0.93907702,0.030104527
0.109,0.93907702,0.030104527
0.11,0.971009016,0.031075537
0.111,0.971009016,0.031075537
0.112,0.971009016,0.032046549
0.113,0.971009016,0.032046549
0.114,0.971009016,0.033017557
0.115,0.971009016,0.033017557
0.116,0.971009016,0.033988565
0.117,0.971009016,0.033988565
0.118,0.967945755,0.034956511
0.119,0.967945755,0.034956511
0.12,1.036612749,0.035993125
0.121,1.036612749,0.035993125
0.122,1.036612749,0.037029736
0.123,1.036612749,0.037029736
0.124,1.036612749,0.03806635
0.125,1.036612749,0.03806635
0.126,1.036612749,0.03910296
0.127,1.036612749,0.03910296
0.128,1.036612749,0.040139575
0.129,1.036612749,0.040139575
0.13,1.057621717,0.041197196
0.131,1.057621717,0.041197196
0.132,1.057621717,0.04225482
0.133,1.057621717,0.04225482
0.134,1.057621717,0.043312442
0.135,1.057621717,0.043312442
0.136,1.057621717,0.044370066
0.137,1.057621717,0.044370066
0.138,1.055487156,0.045425553
0.139,1.055487156,0.045425553
0.14,1.081843257,0.046507396
0.141,1.081843257,0.046507396
0.142,1.081843257,0.047589239
0.143,1.081843257,0.047589239
0.144,1.081843257,0.048671082
0.145,1.081843257,0.048671082
0.146,1.081843257,0.049752921
0.147,1.081843257,0.049752921
0.148,1.081843257,0.05083476
0.149,1.081843257,0.05083476
0.15,1.194472432,0.052029233
0.151,1.194472432,0.052029233
0.152,1.194472432,0.053223707
0.153,1.194472432,0.053223707
0.154,1.194472432,0.054418176
