0,0.008061672,-0.003374102,0.002917392,0.003,0.003,-0.002
0.01,0.008168884,-0.003457223,0.002788689,0,0.001,-0.001
0.02,0.003486105,-0.004818038,-0.011732423,0,0.004,-0.006
0.03,0.003540704,-0.004610743,-0.011830706,-0.002,0.003,0.016
0.04,0.011175972,-0.000970464,0.002190476,-0.013,-0.024,-0.014
0.05,0.009942523,-0.001176919,0.002384303,-0.007,-0.032,-0.066
0.06,0.008717319,-0.001379104,0.002503685,-0.005,-0.015,-0.026
0.07,0.007499776,-0.001578973,0.002583877,0.008,0.032,0.019
0.08,-0.004597502,-0.007827882,-0.018591095,0.017,-0.034,-0.006
0.09,-0.005983689,-0.008123701,-0.017902892,-0.033,-0.019,-0.005
0.1,-0.007344948,-0.008407145,-0.018262912,-0.019,0.008,0.025
0.11,-0.008714606,-0.008668822,-0.017390827,-0.033,-0.023,-0.014
0.12,-0.017305616,-0.009676171,-0.030613953,-0.017,-0.001,-0.003
0.13,-0.018766249,-0.009911416,-0.028922502,-0.027,-0.023,0.006
0.14,-5.28E-05,-0.00048564,-0.000703505,-0.068,-0.048,0.016
0.15,-0.001190624,-0.000527307,-0.000286987,-0.014,-0.004,0.02
0.16,-0.002293534,-0.000514134,0.001510709,-0.056,-0.018,0.032
0.17,-0.003345418,-0.000473066,-4.55E-05,-0.014,-0.026,-0.007
0.18,-0.004419305,-0.000392394,0.001231678,-0.096,-0.052,0
0.19,0.000630198,0.00837899,0.019200355,-0.044,-0.07,0.056
0.2,-0.000248396,0.00867777,0.017864123,0.009,-0.003,0.067
0.21,-0.000427697,0.011690291,0.021796523,-0.023,0.059,0.028
0.22,-0.005606249,0.002487778,0.009567847,0.042,-0.06,0.005
0.23,-0.006513841,0.002775764,0.007252946,-0.036,0.006,-0.015
0.24,-0.011783308,-0.002501012,-0.007617508,0.067,-0.006,-0.026
0.25,-0.005466415,0.001671321,0.009114834,0.051,0.035,0.033
0.26,-0.00632507,0.00188362,0.009902777,0.001,-0.008,0.059
0.27,-0.0071872,0.00203563,0.009604017,0.141,-0.169,0.059
0.28,-0.012881083,-0.003533063,-0.00587329,0.068,-0.318,0.035
0.29,-0.013769532,-0.003572019,-0.004969052,-0.157,-0.079,0.025
0.3,-0.018068334,-0.005939145,-0.017426731,-0.163,-0.083,0.045
0.31,-0.004629525,-0.001067161,0.004756758,-0.122,-0.039,0.091
0.32,-0.004809818,-0.000829183,0.006623134,-0.024,-0.25,0.123
0.33,-0.000841795,0.003495127,0.023085184,0.22,-0.256,0.164
0.34,-0.000621079,0.003937094,0.030015787,0.478,-0.337,0.151
0.35,0.001014767,0.006746673,0.041837879,0.53,-0.385,0.116
0.36,0.001904289,0.006509482,0.047206223,0.606,-0.459,0.064
0.37,0.0032104,0.005729617,0.051851276,0.435,-0.386,0.013
0.38,-0.002146604,-0.008421134,0.037582818,0.276,-0.208,0.019
0.39,-0.000121221,-0.010344195,0.040682886,0.092,-0.134,0.045
0.4,0.002092087,-0.012498206,0.04282188,-0.244,-0.04,0.04
0.41,0.013701546,-0.010231953,0.055055134,-0.458,0.163,0.021
0.42,0.016123086,-0.012070494,0.053723991,-0.469,0.368,0.021
0.43,0.020594042,-0.011298524,0.057887342,-0.445,0.386,0.001
0.44,0.018153558,-0.020757847,0.045382123,-0.267,0.235,-0.02
0.45,0.023117067,-0.018726306,0.054025494,-0.026,-0.009,-0.032
0.46,0.021609601,-0.023188984,0.041314758,0.086,-0.254,-0.044
0.47,0.02648934,-0.02112489,0.04885149,0.126,-0.391,-0.043
0.48,0.028056171,-0.021578157,0.048696678,0.135,-0.356,-0.044
0.49,0.03002326,-0.02214307,0.049027208,0.036,-0.198,0
0.5,0.026431596,-0.027133763,0.033054885,0.056,0,0.021
0.51,0.028872982,-0.027919769,0.034194838,-0.134,0.145,0.056
0.52,0.031307742,-0.028740227,0.035109565,-0.289,0.247,0.061
0.53,0.044571057,-0.023683133,0.053735245,-0.339,0.277,0.063
0.54,0.046745647,-0.024004869,0.053955719,-0.26,0.313,0.04
0.55,0.050713211,-0.020696633,0.061407637,-0.171,0.268,0.05
0.56,0.048497062,-0.024859702,0.04597421,-0.16,0.247,0.057
0.57,0.053168952,-0.021402758,0.053540118,-0.065,0.215,0.059
0.58,0.05426123,-0.020848623,0.05243035,-0.005,0.193,0.048
0.59,0.055872887,-0.017532809,0.057879094,-0.007,0.21,0.044
0.6,0.053312682,-0.021281891,0.0461355,0.026,0.194,0.053
0.61,0.053788885,-0.020674285,0.048932768,-0.084,0.276,0.077
0.62,0.054062884,-0.020106371,0.049010389,-0.108,0.378,0.07
0.63,0.054055668,-0.019472329,0.04881721,0.013,0.29,0.056
0.64,0.046166975,-0.02171869,0.031210888,0.143,0.213,0.071
0.65,0.057467911,-0.015761467,0.052024871,0.252,0.117,0.076
0.66,0.052903842,-0.017507508,0.044174973,0.321,0.134,0.098
0.67,0.057602644,-0.013895881,0.062678508,0.29,0.113,0.106
0.68,0.056561906,-0.013916067,0.067386881,0.158,0.096,0.107
0.69,0.05541981,-0.014222079,0.07214883,0.026,0.118,0.101
0.7,0.054211367,-0.014681962,0.075692318,-0.05,0.142,0.082
0.71,0.052878793,-0.015189414,0.079936981,-0.137,0.149,0.067
0.72,0.051399864,-0.01564486,0.083764009,-0.197,0.214,0.079
0.73,0.051969808,-0.010458241,0.099594705,-0.278,0.261,0.076
0.74,0.05009447,-0.01050274,0.105038241,-0.281,0.247,0.086
0.75,0.047733046,-0.00813025,0.112900153,-0.173,0.149,0.085
0.76,0.040918395,-0.015191498,0.106507778,-0.064,-0.002,0.072
0.77,0.038297895,-0.014610242,0.111357383,0.033,-0.113,0.079
0.78,0.030886417,-0.0180804,0.102911696,0.142,-0.168,0.086
0.79,0.036631759,-0.013626377,0.121381849,0.283,-0.161,0.085
0.8,0.034112934,-0.013114196,0.126756236,0.361,-0.066,0.089
0.81,0.034389656,-0.009982795,0.137971133,0.362,-0.032,0.078
0.82,0.032428298,-0.010150449,0.142682672,0.243,0.132,0.061
0.83,0.031666324,-0.008051658,0.154399291,0.036,0.21,0.069
0.84,0.02638818,-0.015364484,0.147797808,-0.146,0.255,0.056
0.85,0.024050731,-0.016158832,0.151565731,-0.306,0.258,0.048
